form_key,form_id,form_version,form_label,type,record_urn,dataelement_urn,source_id,mandatory,repeatable,position,resolution_status
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:73:1,X_230_0_73,True,False,13,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:74:1,X_230_0_74,True,False,14,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:75:1,X_230_0_75,True,False,15,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:76:1,X_230_0_76,False,False,16,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:77:1,X_230_0_77,False,False,17,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:78:1,X_230_0_78,False,False,18,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:80:1,X_230_0_80,False,False,19,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:81:1,X_230_0_81,False,False,20,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:82:1,X_230_0_82,False,False,21,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:83:1,X_230_0_83,False,False,22,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:84:1,X_230_0_84,False,False,23,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:85:1,X_230_0_85,False,False,24,direct_resolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:79:1,X_230_0_79,False,False,25,direct_resolved
231_1_LABORATORY 1,231,1,LABORATORY 1,dataelement,,urn:osse-11:dataelement:241:1,X_231_0_241,False,False,1,direct_resolved
231_1_LABORATORY 1,231,1,LABORATORY 1,dataelement,,urn:osse-11:dataelement:242:1,X_231_0_242,False,False,2,direct_resolved
231_1_LABORATORY 1,231,1,LABORATORY 1,dataelement,,urn:osse-11:dataelement:244:1,X_231_0_244,False,False,6,direct_resolved
