form_key;form_id;form_version;form_label;urn;type;element_label;mandatory;repeatable;position
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:80:1;dataelement; If “Simple oxygen mask”- Flow (liters of O2/min);False;False;18
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:81:1;dataelement;If “Monaghan mask (reservoir)”- Flow (liters of O2/min);False;False;19
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:82:1;dataelement;If “Venturi mask”- Flow (liters of O2/min);False;False;20
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:83:1;dataelement;If “High-flow nasal cannula”- Flow (liters of O2/min);False;False;21
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:79:1;dataelement;FiO2;False;False;22
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:84:1;dataelement;If Mechanical ventilation-Reason for mechanical ventilation;False;False;23
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:85:1;dataelement;Type of mechanical ventilation;False;False;24
228_8_Data at visit;228;8;Data at visit;urn:osse-11:record:47:1;record;Visit Date;False;False;0
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:203:1;dataelement;Alcohol consumption since last visit;False;False;2
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:109:1;dataelement;Type of alcohol consumption;False;False;3
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:355:1;dataelement;Average number of drinks per week;False;False;4
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:111:1;dataelement;Most common drink consumed;False;False;5
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:374:1;dataelement;Hospitalization?;False;False;7
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:204:1;dataelement;Origin at the time of hospital admission;True;False;8
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:205:1;dataelement;Site of hospital admission;True;False;9
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:206:1;dataelement;Reason(s) for hospital admission;True;False;10
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:346:1;dataelement;If other, please specify;False;False;11
228_8_Data at visit;228;8;Data at visit;urn:osse-11:dataelement:207:1;dataelement;Main reason for hospital admission;True;False;12
228_9_Data at visit;228;9;Data at visit;urn:osse-11:record:47:1;record;Visit Date;False;False;0
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:203:1;dataelement;Alcohol consumption since last visit;False;False;2
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:109:1;dataelement;Type of alcohol consumption;False;False;3
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:355:1;dataelement;Average number of drinks per week;False;False;4
