dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
216;1;urn:osse-11:dataelement:216:1;RELEASED;en;AKI caused by;AKI caused by;enumerated;enumerated;SELECT_MANY_CHECKBOX
217;1;urn:osse-11:dataelement:217:1;RELEASED;en;Grade of AKI;Grade of AKI;enumerated;enumerated;SELECT_ONE_RADIO
218;1;urn:osse-11:dataelement:218:1;RELEASED;en;Type of AKI;Type of AKI;enumerated;enumerated;SELECT_ONE_RADIO
219;1;urn:osse-11:dataelement:219:1;RELEASED;en;6. Bacterial infections;6. Bacterial infections;enumerated;enumerated;SELECT_ONE_RADIO
220;1;urn:osse-11:dataelement:220:1;RELEASED;en;7. Fungal infection/Colonization;7. Fungal infection/Colonization;enumerated;enumerated;SELECT_ONE_RADIO
221;1;urn:osse-11:dataelement:221:1;RELEASED;en;8. Viral infection;8. Viral infection;enumerated;enumerated;SELECT_ONE_RADIO
222;1;urn:osse-11:dataelement:222:1;RELEASED;en;Viral infection ;Viral infection;STRING;;
223;1;urn:osse-11:dataelement:223:1;RELEASED;en;9. Acute alcoholic-steatohepatitis (ASH);9. Acute alcoholic-steatohepatitis (ASH);enumerated;enumerated;SELECT_ONE_RADIO
224;1;urn:osse-11:dataelement:224:1;RELEASED;en;10. Acute viral hepatitis superimposed to cirrhosis (suspected/confirmed);10. Acute viral hepatitis superimposed to cirrhosis (suspected/confirmed);enumerated;enumerated;SELECT_ONE_RADIO
225;1;urn:osse-11:dataelement:225:1;RELEASED;en;11. Suspected drug-induced liver injury;11. Suspected drug-induced liver injury;enumerated;enumerated;SELECT_ONE_RADIO
226;2;urn:osse-11:dataelement:226:2;RELEASED;en;Hepatocellular carcinoma;Hepatocellular carcinoma;enumerated;enumerated;SELECT_ONE_RADIO
227;1;urn:osse-11:dataelement:227:1;RELEASED;en;13. Other relevant clinical events;13. Other relevant clinical events;STRING;;
231;1;urn:osse-11:dataelement:231:1;RELEASED;en;Total score;Total score;INTEGER;3<=x<=15;
232;1;urn:osse-11:dataelement:232:1;RELEASED;en;Physical examination date;Physical examination date;DATE;DD.MM.YYYY;
233;1;urn:osse-11:dataelement:233:1;RELEASED;en;Race;Race;enumerated;enumerated;SELECT_ONE_RADIO
234;1;urn:osse-11:dataelement:234:1;RELEASED;en;Weight (Kg);Weight (Kg);INTEGER;0<=x<=400;
235;1;urn:osse-11:dataelement:235:1;RELEASED;en;Height (cm);Height (cm);INTEGER;0<=x<=300;
236;1;urn:osse-11:dataelement:236:1;RELEASED;en;BMI;Formula: BMI= Weight (Kg)/Height2(m);FLOAT;0<=x<=100;
