Form;form_id;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit;source_id;slots
Previous treatments;227:3;Basic;urn:osse-11:record:33:1;3. Hepatitis B virus antiviral therapy;false;false;urn:osse-11:dataelement:147:1;Virus therapy;Virus therapy for HBV;;;enumerated;enumerated;;X_227_33_147;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:33:1;3. Hepatitis B virus antiviral therapy;false;false;urn:osse-11:dataelement:148:1;Complete response (<10 IU);Complete response (<10 IU) fór HBV;;;enumerated;enumerated;;X_227_33_148;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:33:1;3. Hepatitis B virus antiviral therapy;false;false;urn:osse-11:dataelement:149:1;Reactivation of hepatitis B virus;Reactivation of hepatitis B virus;;;enumerated;enumerated;;X_227_33_149;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:34:1;4.NAFLD/NASH;false;false;urn:osse-11:dataelement:150:1;NAFLD/NASH;NAFLD/NASH therapy;;;enumerated;enumerated;;X_227_34_150;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:34:1;4.NAFLD/NASH;false;false;urn:osse-11:dataelement:151:1;Associated features ;Associated features for NASH/NAFLD;;;enumerated;enumerated;;X_227_34_151;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:34:1;4.NAFLD/NASH;false;false;urn:osse-11:dataelement:152:1;If obesity is selected-Type of therapy for obesity;If obesity is selected-Type of therapy for obesity;;;enumerated;enumerated;;X_227_34_152;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:34:1;4.NAFLD/NASH;false;false;urn:osse-11:dataelement:153:1;Specific therapy of associated complications;Specific therapy of associated complications for NASH/NAFLD;;;enumerated;enumerated;;X_227_34_153;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:35:1;5. Autoimmune hepatitis treatment;false;false;urn:osse-11:dataelement:154:1;Autoimmune hepatitis therapy;Autoimmune hepatitis therapy;;;enumerated;enumerated;;X_227_35_154;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:35:1;5. Autoimmune hepatitis treatment;false;false;urn:osse-11:dataelement:155:1;Immunosupresive therapies;Immunosupresive therapies for AIH;;;enumerated;enumerated;;X_227_35_155;SELECT_MANY_CHECKBOX
Previous treatments;227:3;Basic;urn:osse-11:record:35:1;5. Autoimmune hepatitis treatment;false;false;urn:osse-11:dataelement:156:1;Positive response;Positive response for AIH;;;enumerated;enumerated;;X_227_35_156;SELECT_ONE_RADIO
Previous treatments;227:3;Basic;urn:osse-11:record:35:1;5. Autoimmune hepatitis treatment;false;false;urn:osse-11:dataelement:157:1;Type of response;Type of response for AIH;;;enumerated;enumerated;;X_227_35_157;SELECT_ONE_RADIO
