PID;form_id;form_version;form_key;form_label;type;record_urn;dataelement_urn;source_id;mandatory;repeatable;position;resolution_status
197;224;4;224_4_ACLF evaluation;ACLF evaluation;record;urn:osse-11:record:20:1;urn:osse-11:dataelement:87:1;X_224_20_87;False;False;8;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;dataelement;;urn:osse-11:dataelement:55:1;X_225_0_55;True;False;1;direct_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;dataelement;;urn:osse-11:dataelement:92:1;X_225_0_92;True;False;2;direct_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;dataelement;;urn:osse-11:dataelement:104:1;X_225_0_104;True;False;5;direct_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;dataelement;;urn:osse-11:dataelement:346:1;X_225_0_346;False;False;6;direct_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;dataelement;;urn:osse-11:dataelement:105:1;X_225_0_105;True;False;7;direct_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:21:1;urn:osse-11:dataelement:93:1;X_225_21_93;False;False;3;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:21:1;urn:osse-11:dataelement:94:1;X_225_21_94;False;False;3;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:21:1;urn:osse-11:dataelement:96:1;X_225_21_96;False;False;3;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:21:1;urn:osse-11:dataelement:95:1;X_225_21_95;False;False;3;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:22:1;urn:osse-11:dataelement:97:1;X_225_22_97;False;False;4;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:22:1;urn:osse-11:dataelement:98:1;X_225_22_98;False;False;4;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:22:1;urn:osse-11:dataelement:99:1;X_225_22_99;False;False;4;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:22:1;urn:osse-11:dataelement:100:1;X_225_22_100;False;False;4;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:22:1;urn:osse-11:dataelement:101:1;X_225_22_101;False;False;4;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:22:1;urn:osse-11:dataelement:102:1;X_225_22_102;False;False;4;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:22:1;urn:osse-11:dataelement:103:1;X_225_22_103;False;False;4;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:23:1;urn:osse-11:dataelement:106:1;X_225_23_106;False;False;8;record_resolved
197;225;2;225_2_Patient’s information and Medical history;Patient’s information and Medical history;record;urn:osse-11:record:23:1;urn:osse-11:dataelement:107:1;X_225_23_107;False;False;8;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:112:1;X_226_0_112;True;False;1;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:109:1;X_226_0_109;False;False;3;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:355:1;X_226_0_355;False;False;4;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:111:1;X_226_0_111;False;False;5;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:113:1;X_226_0_113;True;False;7;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:130:1;X_226_0_130;False;False;16;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:131:1;X_226_0_131;False;False;17;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:132:1;X_226_0_132;False;False;18;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;dataelement;;urn:osse-11:dataelement:137:1;X_226_0_137;False;False;20;direct_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:25:1;urn:osse-11:dataelement:114:1;X_226_25_114;False;False;8;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:25:1;urn:osse-11:dataelement:116:1;X_226_25_116;False;False;8;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:25:1;urn:osse-11:dataelement:117:1;X_226_25_117;False;False;8;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:26:1;urn:osse-11:dataelement:115:1;X_226_26_115;False;False;9;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:26:1;urn:osse-11:dataelement:118:1;X_226_26_118;False;False;9;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:26:1;urn:osse-11:dataelement:119:1;X_226_26_119;False;False;9;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:26:1;urn:osse-11:dataelement:120:1;X_226_26_120;False;False;9;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:26:1;urn:osse-11:dataelement:121:1;X_226_26_121;False;False;9;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:27:1;urn:osse-11:dataelement:122:1;X_226_27_122;False;False;10;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:27:1;urn:osse-11:dataelement:118:1;X_226_27_118;False;False;10;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:27:1;urn:osse-11:dataelement:123:1;X_226_27_123;False;False;10;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:28:1;urn:osse-11:dataelement:124:1;X_226_28_124;False;False;12;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:28:1;urn:osse-11:dataelement:118:1;X_226_28_118;False;False;12;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:28:1;urn:osse-11:dataelement:125:1;X_226_28_125;False;False;12;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:29:1;urn:osse-11:dataelement:126:1;X_226_29_126;False;False;14;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:29:1;urn:osse-11:dataelement:118:1;X_226_29_118;False;False;14;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:29:1;urn:osse-11:dataelement:127:1;X_226_29_127;False;False;14;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:29:1;urn:osse-11:dataelement:128:1;X_226_29_128;False;False;14;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:29:1;urn:osse-11:dataelement:129:1;X_226_29_129;False;False;14;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:30:1;urn:osse-11:dataelement:133:1;X_226_30_133;False;False;19;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:30:1;urn:osse-11:dataelement:134:1;X_226_30_134;False;False;19;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:30:1;urn:osse-11:dataelement:135:1;X_226_30_135;False;False;19;record_resolved
197;226;11;226_11_Previous clinical course;Previous clinical course;record;urn:osse-11:record:30:1;urn:osse-11:dataelement:136:1;X_226_30_136;False;False;19;record_resolved
