form;formid_version;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit_measure;id;form_id;form_version
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:162:1;2. Therapeutic paracentesis;2. Therapeutic paracentesis;false;false;enumerated;enumerated;;125;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:169:1;6. Renal replacement treatment;6. Renal replacement treatment;false;false;enumerated;enumerated;;132;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:170:1;7. Artificial liver support;7. Artificial liver support;false;false;enumerated;enumerated;;133;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:171:1;8. Omeprazol or other PPI;8. Omeprazol or other PPI;false;false;enumerated;enumerated;;134;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:172:1;9. Endoscopic therapy of bleeding;9. Endoscopic therapy of bleeding;false;false;enumerated;enumerated;;135;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:173:1;10. Lactulose;10. Lactulose;false;false;enumerated;enumerated;;136;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:174:1;11. Rifaximin for HE;11. Rifaximin for HE;false;false;enumerated;enumerated;;137;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:180:1;14. Antibiotic for infection (nonprophylactic);14. Antibiotic for infection (nonprophylactic);false;false;enumerated;enumerated;;143;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:185:1;17. Insulin;17. Insulin;false;false;enumerated;enumerated;;148;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:188:1;19. Statins;19. Statins;false;false;enumerated;enumerated;;151;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:193:1;Any drug with potential hepatotoxic effect;Any drug with potential hepatotoxic effect;false;false;enumerated;enumerated;;156;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:195:1;Drug with potential hepatotoxic effect;Drug with potential hepatotoxic effect;false;true;STRING;;;157;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:194:1;Any drug with potential adverse effect;Any drug with potential adverse effect;false;false;enumerated;enumerated;;158;227;3
Previous treatments;227:3;Basic;;;;;urn:osse-11:dataelement:196:1;Drug with potential adverse effect;Drug with potential adverse effect;false;true;STRING;;;159;227;3
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:203:1;Alcohol consumption since last visit;Alcohol consumption since last visit;false;false;enumerated;enumerated;;166;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:109:1;Type of alcohol consumption;Type of alcohol consumption;false;false;enumerated;enumerated;;167;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:355:1;Average number of drinks per week;Average number of drinks per week;false;false;INTEGER;0<=x<=20000;ml;168;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:111:1;Most common drink consumed;Most common drink consumed;false;false;enumerated;enumerated;;169;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:204:1;Origin at the time of hospital admission;Origin at the time of hospital admission;true;false;enumerated;enumerated;;170;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:205:1;Site of hospital admission;Site of hospital admission;true;false;enumerated;enumerated;;171;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:206:1;Reason(s) for hospital admission;Reason(s) for hospital admission;true;false;enumerated;enumerated;;172;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:346:1;If other, please specify;Specify the other conditions;false;false;STRING;;;173;228;7
Data at visit;228:7;Longitudinal;;;;;urn:osse-11:dataelement:207:1;Main reason for hospital admission;Main reason for hospital admission;true;false;enumerated;enumerated;;174;228;7
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:122:1;3. Gastrointestinal bleeding;3. Gastrointestinal bleeding;true;false;enumerated;enumerated;;180;229;3
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:219:1;6. Bacterial infections;6. Bacterial infections;true;false;enumerated;enumerated;;190;229;3
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:220:1;7. Fungal infection/Colonization;7. Fungal infection/Colonization;false;false;enumerated;enumerated;;191;229;3
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:221:1;8. Viral infection;8. Viral infection;false;false;enumerated;enumerated;;192;229;3
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:222:1;Viral infection ;Viral infection;false;true;STRING;;;193;229;3
